,code,name,project_name,countryname
25,10,Rural development,Uttarakhand Disaster Recovery Project,Republic of India
26,6,Social protection and risk management,Uttarakhand Disaster Recovery Project,Republic of India
27,6,Social protection and risk management,Uttarakhand Disaster Recovery Project,Republic of India
28,11,Environment and natural resources management,Uttarakhand Disaster Recovery Project,Republic of India
29,4,,GH eTransform Ghana,Republic of Ghana
30,5,Trade and integration,Timor Leste Road Climate Resilience Project - Additional Financing,Democratic Republic of Timor-Leste
31,11,Environment and natural resources management,Timor Leste Road Climate Resilience Project - Additional Financing,Democratic Republic of Timor-Leste
32,10,Rural development,Timor Leste Road Climate Resilience Project - Additional Financing,Democratic Republic of Timor-Leste
33,6,Social protection and risk management,NATIONAL UNIFIED REGISTRY AND OUTREACH WORKER PROGRAM,Hashemite Kingdom of Jordan
34,6,Social protection and risk management,NATIONAL UNIFIED REGISTRY AND OUTREACH WORKER PROGRAM,Hashemite Kingdom of Jordan
35,6,Social protection and risk management,NATIONAL UNIFIED REGISTRY AND OUTREACH WORKER PROGRAM,Hashemite Kingdom of Jordan
36,10,Rural development,Enhanced Road Access Project,Samoa
37,11,Environment and natural resources management,Enhanced Road Access Project,Samoa
38,5,Trade and integration,Enhanced Road Access Project,Samoa
39,10,Rural development,Samoa Agriculture & Fisheries Cyclone Response Project,Samoa
40,2,,Samoa Agriculture & Fisheries Cyclone Response Project,Samoa
41,8,Human development,Emergency Support to Education For all Project,Republic of Madagascar
42,7,,Emergency Support to Education For all Project,Republic of Madagascar
43,8,Human development,Additional Financing for the Second Health Sector Support Project,Kingdom of Cambodia
44,8,Human development,Additional Financing for the Second Health Sector Support Project,Kingdom of Cambodia
45,2,Public sector governance,Additional Financing for the Second Health Sector Support Project,Kingdom of Cambodia
46,7,Social dev/gender/inclusion,Additional Financing for the Second Health Sector Support Project,Kingdom of Cambodia
47,8,Human development,Additional Financing for the Second Health Sector Support Project,Kingdom of Cambodia
48,2,Public sector governance,DTF:MA- Support New Governance Framework,Kingdom of Morocco
49,2,Public sector governance,DTF:MA- Support New Governance Framework,Kingdom of Morocco
50,2,Public sector governance,DTF:MA- Support New Governance Framework,Kingdom of Morocco
51,7,Social dev/gender/inclusion,SOCIAL COHESION THROUGH COMMUNITY-BASED DEVELOPMENT,Kyrgyz Republic
52,7,Social dev/gender/inclusion,SOCIAL COHESION THROUGH COMMUNITY-BASED DEVELOPMENT,Kyrgyz Republic
53,9,Urban development,Nepal: Pro-poor Urban Regeneration Pilot,Nepal
54,7,Social dev/gender/inclusion,Nepal: Pro-poor Urban Regeneration Pilot,Nepal
55,7,Social dev/gender/inclusion,Jordan- Emergency Services and Social Resilience,Hashemite Kingdom of Jordan
56,7,Social dev/gender/inclusion,Jordan- Emergency Services and Social Resilience,Hashemite Kingdom of Jordan
57,8,Human development,Tajikistan JSDF Nutrition Grant Scale Up,Republic of Tajikistan
58,8,Human development,Tajikistan JSDF Nutrition Grant Scale Up,Republic of Tajikistan
59,10,Rural development,AGRICULTURAL COMPETITIVENESS IMPROVEMENT PROJECT,Republic of Azerbaijan
60,10,Rural development,AGRICULTURAL COMPETITIVENESS IMPROVEMENT PROJECT,Republic of Azerbaijan
61,10,Rural development,AGRICULTURAL COMPETITIVENESS IMPROVEMENT PROJECT,Republic of Azerbaijan
62,6,Social protection and risk management,AGRICULTURAL COMPETITIVENESS IMPROVEMENT PROJECT,Republic of Azerbaijan
63,11,Environment and natural resources management,Capturing Coral Reef Ecosystem Services (CCRES),East Asia and Pacific
64,11,Environment and natural resources management,Capturing Coral Reef Ecosystem Services (CCRES),East Asia and Pacific
65,11,Environment and natural resources management,Capturing Coral Reef Ecosystem Services (CCRES),East Asia and Pacific
66,4,Financial and private sector development,Lao PDR Ninth Poverty Reduction Support Operation,Lao People's Democratic Republic
67,5,Trade and integration,Lao PDR Ninth Poverty Reduction Support Operation,Lao People's Democratic Republic
68,2,Public sector governance,Lao PDR Ninth Poverty Reduction Support Operation,Lao People's Democratic Republic
69,8,Human development,Lao PDR Ninth Poverty Reduction Support Operation,Lao People's Democratic Republic
70,11,Environment and natural resources management,Pacific Aviation Safety Office Reform,Pacific Islands
71,2,Public sector governance,Pacific Aviation Safety Office Reform,Pacific Islands
72,5,Trade and integration,Pacific Aviation Safety Office Reform,Pacific Islands
73,6,Social protection and risk management,Pacific Aviation Safety Office Reform,Pacific Islands
74,10,Rural development,Additional Financing 2 - Solomon Islands Rural Development Program,Solomon Islands
75,10,Rural development,Additional Financing 2 - Solomon Islands Rural Development Program,Solomon Islands
76,7,Social dev/gender/inclusion,Additional Financing 2 - Solomon Islands Rural Development Program,Solomon Islands
77,7,Social dev/gender/inclusion,Water Resources Development Flood Response Additional Financing,Republic of Mozambique
78,11,Environment and natural resources management,Water Resources Development Flood Response Additional Financing,Republic of Mozambique
79,8,Human development,Angola Learning for All Project,People's Republic of Angola
80,4,,Angola Learning for All Project,People's Republic of Angola
81,11,Environment and natural resources management,Kihansi Catchment Conservation and Management Project,United Republic of Tanzania
82,11,Environment and natural resources management,Kihansi Catchment Conservation and Management Project,United Republic of Tanzania
83,11,Environment and natural resources management,Kihansi Catchment Conservation and Management Project,United Republic of Tanzania
84,11,Environment and natural resources management,Kihansi Catchment Conservation and Management Project,United Republic of Tanzania
85,11,Environment and natural resources management,Housing Finance Development Program,Federal Republic of Nigeria
86,4,Financial and private sector development,Housing Finance Development Program,Federal Republic of Nigeria
87,6,Social protection and risk management,Sustainability and Competitiveness DPL 2,Republic of Seychelles
88,1,Economic management,Sustainability and Competitiveness DPL 2,Republic of Seychelles
89,4,Financial and private sector development,Sustainability and Competitiveness DPL 2,Republic of Seychelles
90,2,Public sector governance,Additional Financing: Skills and Training Enhancement Project,People's Republic of Bangladesh
91,8,Human development,Additional Financing: Skills and Training Enhancement Project,People's Republic of Bangladesh
92,5,Trade and integration,Additional Financing: Skills and Training Enhancement Project,People's Republic of Bangladesh
93,5,Trade and integration,Additional Financing: Skills and Training Enhancement Project,People's Republic of Bangladesh
94,7,Social dev/gender/inclusion,SN:Casamance Development Pole Project,Republic of Senegal
95,10,Rural development,SN:Casamance Development Pole Project,Republic of Senegal
96,4,Financial and private sector development,SN:Casamance Development Pole Project,Republic of Senegal
97,10,Rural development,Electric Power Project,Republic of the Union of Myanmar
98,11,,Electric Power Project,Republic of the Union of Myanmar
99,6,Social protection and risk management,West Bank and Gaza Cash Transfer Project Additional Financing,West Bank and Gaza
100,7,,West Bank and Gaza Cash Transfer Project Additional Financing,West Bank and Gaza
101,11,Environment and natural resources management,Adaptation Fund: Increasing Climate Resilience & Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentine Republic
102,11,Environment and natural resources management,Adaptation Fund: Increasing Climate Resilience & Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentine Republic
103,6,Social protection and risk management,Adaptation Fund: Increasing Climate Resilience & Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentine Republic
104,11,Environment and natural resources management,Adaptation Fund: Increasing Climate Resilience & Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentine Republic
105,11,Environment and natural resources management,Adaptation Fund: Increasing Climate Resilience & Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentine Republic
106,2,Public sector governance,GM-Integrated Financial Management and Information System Project-Additional Financing,Republic of The Gambia
107,4,,GM-Integrated Financial Management and Information System Project-Additional Financing,Republic of The Gambia
108,11,Environment and natural resources management,RUSSIA HYDROMETEOROLOGICAL SERVICES MODERNIZATION,Russian Federation
109,6,Social protection and risk management,RUSSIA HYDROMETEOROLOGICAL SERVICES MODERNIZATION,Russian Federation
110,11,Environment and natural resources management,RUSSIA HYDROMETEOROLOGICAL SERVICES MODERNIZATION,Russian Federation
111,11,Environment and natural resources management,RUSSIA HYDROMETEOROLOGICAL SERVICES MODERNIZATION,Russian Federation
112,4,Financial and private sector development,Congo Skills Development for Employability Project,Republic of Congo
113,8,Human development,Congo Skills Development for Employability Project,Republic of Congo
114,2,Public sector governance,Public Finance Management Technical Assistance Project,Russian Federation
115,2,Public sector governance,Public Finance Management Technical Assistance Project,Russian Federation
116,2,Public sector governance,Sao Tome & Principe-Extractive Industries Transparency Initiative,Democratic Republic of Sao Tome and Prin
117,8,,Sao Tome & Principe-Extractive Industries Transparency Initiative,Democratic Republic of Sao Tome and Prin
118,11,Environment and natural resources management,Solomon Islands - Extractive Industries Transparency Initiative Implementation,Solomon Islands
119,7,,Solomon Islands - Extractive Industries Transparency Initiative Implementation,Solomon Islands
120,8,Human development,West Africa  Regional Disease Surveillance Capacity Strengthening,Africa
121,10,,West Africa  Regional Disease Surveillance Capacity Strengthening,Africa
122,2,Public sector governance,RCIP4 - Regional Communications Infrastructure Program - APL 4,Africa
123,10,Rural development,RCIP4 - Regional Communications Infrastructure Program - APL 4,Africa
124,4,Financial and private sector development,RCIP4 - Regional Communications Infrastructure Program - APL 4,Africa
125,4,Financial and private sector development,RCIP4 - Regional Communications Infrastructure Program - APL 4,Africa
126,11,Environment and natural resources management,Ukraine - Smart Grid Project &#8211; PPG,Ukraine
127,11,,Ukraine - Smart Grid Project &#8211; PPG,Ukraine
128,4,Financial and private sector development,KM-Electricity Sect. Recovery Proj(FY14),Union of the Comoros
129,4,Financial and private sector development,KM-Electricity Sect. Recovery Proj(FY14),Union of the Comoros
130,7,Social dev/gender/inclusion,CO: Enhancing Fiscal Capacity to Promote Shared Prosperity DPL,Republic of Colombia
131,6,Social protection and risk management,CO: Enhancing Fiscal Capacity to Promote Shared Prosperity DPL,Republic of Colombia
132,2,Public sector governance,CO: Enhancing Fiscal Capacity to Promote Shared Prosperity DPL,Republic of Colombia
133,11,Environment and natural resources management,Climate Information System and PPCR Coordination,Republic of Yemen
134,4,,Climate Information System and PPCR Coordination,Republic of Yemen
135,11,Environment and natural resources management,"Building Resilience through Innovation, Communication & Knowledge Svcs",Africa
136,11,Environment and natural resources management,"Building Resilience through Innovation, Communication & Knowledge Svcs",Africa
137,11,Environment and natural resources management,"Building Resilience through Innovation, Communication & Knowledge Svcs",Africa
138,11,Environment and natural resources management,"Building Resilience through Innovation, Communication & Knowledge Svcs",Africa
139,11,Environment and natural resources management,"Building Resilience through Innovation, Communication & Knowledge Svcs",Africa
140,11,Environment and natural resources management,Pacific Catastrophe Risk Assessment and Financing Initiative Phase 3 - (RETF),Pacific Islands
141,11,Environment and natural resources management,Pacific Catastrophe Risk Assessment and Financing Initiative Phase 3 - (RETF),Pacific Islands
142,10,Rural development,Cote d'Ivoire PRSC 1,Republic of Cote d'Ivoire
143,2,Public sector governance,Cote d'Ivoire PRSC 1,Republic of Cote d'Ivoire
144,5,Trade and integration,Cote d'Ivoire PRSC 1,Republic of Cote d'Ivoire
145,2,Public sector governance,Cote d'Ivoire PRSC 1,Republic of Cote d'Ivoire
146,8,Human development,SL-RCHP2 Add'l Financing (FY13),Republic of Sierra Leone
147,8,Human development,SL-RCHP2 Add'l Financing (FY13),Republic of Sierra Leone
148,8,Human development,SL-RCHP2 Add'l Financing (FY13),Republic of Sierra Leone
149,11,Environment and natural resources management,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World
150,7,Social dev/gender/inclusion,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World
151,11,Environment and natural resources management,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World
152,11,Environment and natural resources management,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World
153,11,Environment and natural resources management,Red Sea and Gulf of Aden Strategic Ecosystem Management GEF Project,World
154,4,Financial and private sector development,FSM and PW Telecoms & ICT TA Project,Pacific Islands
155,4,Financial and private sector development,FSM and PW Telecoms & ICT TA Project,Pacific Islands
156,11,Environment and natural resources management,Uttar Pradesh Water Sector Restructuring Project Phase 2,Republic of India
157,2,Public sector governance,Uttar Pradesh Water Sector Restructuring Project Phase 2,Republic of India
158,10,Rural development,Uttar Pradesh Water Sector Restructuring Project Phase 2,Republic of India
159,10,Rural development,Uttar Pradesh Water Sector Restructuring Project Phase 2,Republic of India
160,11,Environment and natural resources management,Fighting against wildlife poaching and illegal trade in Africa,Africa
161,11,Environment and natural resources management,Fighting against wildlife poaching and illegal trade in Africa,Africa
162,2,Public sector governance,Solomon Islands Development Policy Operation-2,Solomon Islands
163,7,Social dev/gender/inclusion,Solomon Islands Development Policy Operation-2,Solomon Islands
164,2,Public sector governance,Peru - Post Compliance I,Republic of Peru
165,10,,Peru - Post Compliance I,Republic of Peru
166,5,Trade and integration,Agriculture Sector Support Project,Republic of Cote d'Ivoire
167,6,Social protection and risk management,Agriculture Sector Support Project,Republic of Cote d'Ivoire
168,10,Rural development,Agriculture Sector Support Project,Republic of Cote d'Ivoire
169,10,Rural development,Agriculture Sector Support Project,Republic of Cote d'Ivoire
170,11,Environment and natural resources management,EC Manta Public Services Improvement Project,Republic of Ecuador
171,4,,EC Manta Public Services Improvement Project,Republic of Ecuador
172,6,Social protection and risk management,Honduras Additional Financing Social Protection,Republic of Honduras
173,2,,Honduras Additional Financing Social Protection,Republic of Honduras
174,6,Social protection and risk management,AF: Development Policy Prog. Series,Islamic State of Afghanistan
175,1,Economic management,AF: Development Policy Prog. Series,Islamic State of Afghanistan
176,2,Public sector governance,AF: Development Policy Prog. Series,Islamic State of Afghanistan
177,11,Environment and natural resources management,AF: Development Policy Prog. Series,Islamic State of Afghanistan
178,2,Public sector governance,AF: Development Policy Prog. Series,Islamic State of Afghanistan
179,4,Financial and private sector development,Regional Rusumo Falls Hydroelectric Project,Africa
180,7,Social dev/gender/inclusion,Regional Rusumo Falls Hydroelectric Project,Africa
181,10,Rural development,Regional Rusumo Falls Hydroelectric Project,Africa
182,5,Trade and integration,Regional Rusumo Falls Hydroelectric Project,Africa
183,9,Urban development,Municipal Solid Waste Carbon Financing Program,Kingdom of Morocco
184,11,Environment and natural resources management,Municipal Solid Waste Carbon Financing Program,Kingdom of Morocco
185,7,,Mauritania - TFSCB - Support to NSDS implementation,Islamic Republic of Mauritania
186,8,Human development,LB: Mobile Internet Ecosystem Project (MIEP),Lebanese Republic
187,11,,LB: Mobile Internet Ecosystem Project (MIEP),Lebanese Republic
188,7,Social dev/gender/inclusion,GZ-PNGO IV AF,West Bank and Gaza
189,6,Social protection and risk management,GZ-PNGO IV AF,West Bank and Gaza
190,8,Human development,Tajikistan Health Services Improvement Project (HSIP),Republic of Tajikistan
191,8,Human development,Tajikistan Health Services Improvement Project (HSIP),Republic of Tajikistan
192,8,Human development,Tajikistan Health Services Improvement Project (HSIP),Republic of Tajikistan
193,4,Financial and private sector development,Burkina Faso Electricity Sector Support Project,Burkina Faso
194,9,Urban development,Burkina Faso Electricity Sector Support Project,Burkina Faso
195,10,Rural development,Burkina Faso Electricity Sector Support Project,Burkina Faso
196,11,Environment and natural resources management,Montreal Protocol Hydrochlorofluorocarbons (HCFC) Phase-out Project,Argentine Republic
197,4,,Montreal Protocol Hydrochlorofluorocarbons (HCFC) Phase-out Project,Argentine Republic
198,4,Financial and private sector development,MH:  ICT Technical Assistance Project,Republic of the Marshall Islands
199,4,Financial and private sector development,MH:  ICT Technical Assistance Project,Republic of the Marshall Islands
200,9,Urban development,Greater Maputo Water Supply Expansion Project,Republic of Mozambique
201,5,,Greater Maputo Water Supply Expansion Project,Republic of Mozambique
202,2,Public sector governance,Programmatic Development Policy Operation 1,Kyrgyz Republic
203,5,Trade and integration,Programmatic Development Policy Operation 1,Kyrgyz Republic
204,1,Economic management,Programmatic Development Policy Operation 1,Kyrgyz Republic
205,1,Economic management,Programmatic Development Policy Operation 1,Kyrgyz Republic
206,8,Human development,Programmatic Development Policy Operation 1,Kyrgyz Republic
207,4,Financial and private sector development,Financial Infrastructure Project,Republic of Yemen
208,4,Financial and private sector development,Financial Infrastructure Project,Republic of Yemen
209,11,Environment and natural resources management,Quito Metro Line One,Republic of Ecuador
210,11,,Quito Metro Line One,Republic of Ecuador
211,2,Public sector governance,Liberia EITI - Post Compliance I,Republic of Liberia
212,1,,Liberia EITI - Post Compliance I,Republic of Liberia
213,6,Social protection and risk management,National Safety Net Program for Results,Republic of Kenya
214,6,Social protection and risk management,National Safety Net Program for Results,Republic of Kenya
215,6,Social protection and risk management,National Safety Net Program for Results,Republic of Kenya
216,2,Public sector governance,State Assets Inventory and Registry,Kyrgyz Republic
217,10,,State Assets Inventory and Registry,Kyrgyz Republic
218,2,Public sector governance,Tunisia - Communications for policy reforms,Republic of Tunisia
219,4,Financial and private sector development,Tunisia - Communications for policy reforms,Republic of Tunisia
220,1,Economic management,Tunisia - Communications for policy reforms,Republic of Tunisia
221,6,Social protection and risk management,Mitigate the Impact of Syrian Displacement on Jordan,Hashemite Kingdom of Jordan
222,1,Economic management,Mitigate the Impact of Syrian Displacement on Jordan,Hashemite Kingdom of Jordan
223,1,Economic management,MZ Extractive Industries Transparancy Initiative Post Compliance I,Republic of Mozambique
224,7,Social dev/gender/inclusion,MZ Extractive Industries Transparancy Initiative Post Compliance I,Republic of Mozambique
225,5,Trade and integration,Ninth Poverty Reduction Support Credit (PRSC 9),Republic of Mozambique
226,2,Public sector governance,Ninth Poverty Reduction Support Credit (PRSC 9),Republic of Mozambique
227,2,Public sector governance,Ninth Poverty Reduction Support Credit (PRSC 9),Republic of Mozambique
228,8,Human development,Ninth Poverty Reduction Support Credit (PRSC 9),Republic of Mozambique
229,8,Human development,Global Partnership for Education (GPE)-4,Republic of Tajikistan
230,4,,Global Partnership for Education (GPE)-4,Republic of Tajikistan
231,2,Public sector governance,Samoa Development Policy Operation,Samoa
232,6,,Samoa Development Policy Operation,Samoa
233,11,,Strengthening micro-entrepreneurship for disadvantaged youth,Kingdom of Morocco
234,2,Public sector governance,TJ-Public Procurement Capacity Building,Republic of Tajikistan
235,4,,TJ-Public Procurement Capacity Building,Republic of Tajikistan
236,7,Social dev/gender/inclusion,Additional Financing Health Sector Development Support Project,Republic of Zimbabwe
237,8,Human development,Additional Financing Health Sector Development Support Project,Republic of Zimbabwe
238,8,Human development,Additional Financing Health Sector Development Support Project,Republic of Zimbabwe
239,8,Human development,Mali Emergency Education For All Project,Republic of Mali
240,8,,Mali Emergency Education For All Project,Republic of Mali
241,4,Financial and private sector development,Morocco Microfinance Development Project,Kingdom of Morocco
242,11,,Morocco Microfinance Development Project,Kingdom of Morocco
243,11,Environment and natural resources management,Indonesia Second Power Transmission Development Project,Republic of Indonesia
244,4,Financial and private sector development,Indonesia Second Power Transmission Development Project,Republic of Indonesia
245,8,Human development,Afghanistan Agricultural Inputs Project (AAIP),Islamic State of Afghanistan
246,5,Trade and integration,Afghanistan Agricultural Inputs Project (AAIP),Islamic State of Afghanistan
247,4,Financial and private sector development,Afghanistan Agricultural Inputs Project (AAIP),Islamic State of Afghanistan
248,7,Social dev/gender/inclusion,Afghanistan Agricultural Inputs Project (AAIP),Islamic State of Afghanistan
249,1,Economic management,Armenia Pilot Agricultural Census implementation support,Republic of Armenia
250,6,Social protection and risk management,Armenia Pilot Agricultural Census implementation support,Republic of Armenia
251,4,Financial and private sector development,Guinea - MSME Development Project,Republic of Guinea
252,3,Rule of law,Guinea - MSME Development Project,Republic of Guinea
253,4,Financial and private sector development,Guinea - MSME Development Project,Republic of Guinea
254,4,Financial and private sector development,Nigeria Agriculture Sector Development Policy Operation,Federal Republic of Nigeria
255,10,Rural development,Nigeria Agriculture Sector Development Policy Operation,Federal Republic of Nigeria
256,10,Rural development,Nigeria Agriculture Sector Development Policy Operation,Federal Republic of Nigeria
257,10,Rural development,Nigeria Agriculture Sector Development Policy Operation,Federal Republic of Nigeria
258,10,Rural development,THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Federal Republic of Nigeria
259,10,Rural development,THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Federal Republic of Nigeria
260,7,Social dev/gender/inclusion,THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Federal Republic of Nigeria
261,10,Rural development,THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Federal Republic of Nigeria
262,10,Rural development,THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Federal Republic of Nigeria
263,5,Trade and integration,Nepal-India Regional Trade And Transport Project,South Asia
264,4,Financial and private sector development,Nepal-India Regional Trade And Transport Project,South Asia
265,5,Trade and integration,Nepal-India Regional Trade And Transport Project,South Asia
266,5,Trade and integration,Additional Financing-West Africa Agricultural Productivity Program 2A,Africa
267,5,Trade and integration,Additional Financing-West Africa Agricultural Productivity Program 2A,Africa
268,2,Public sector governance,Additional Financing-West Africa Agricultural Productivity Program 2A,Africa
269,10,Rural development,Additional Financing-West Africa Agricultural Productivity Program 2A,Africa
270,11,Environment and natural resources management,Second Irrigation and Drainage Improvement Project,Republic of Kazakhstan
271,10,Rural development,Second Irrigation and Drainage Improvement Project,Republic of Kazakhstan
272,10,Rural development,Second Irrigation and Drainage Improvement Project,Republic of Kazakhstan
273,10,Rural development,Second Irrigation and Drainage Improvement Project,Republic of Kazakhstan
274,4,Financial and private sector development,EG - Helwan South Power Project,Arab Republic of Egypt
275,10,,EG - Helwan South Power Project,Arab Republic of Egypt
276,2,,NP: Financial sector stability DPC,Nepal
277,11,,Croatia Export Financing Guarantee Operation,Republic of Croatia
278,8,Human development,Georgia Competitiveness and Growth DPO2,Georgia
279,8,Human development,Georgia Competitiveness and Growth DPO2,Georgia
280,2,Public sector governance,Georgia Competitiveness and Growth DPO2,Georgia
281,5,Trade and integration,Georgia Competitiveness and Growth DPO2,Georgia
282,6,Social protection and risk management,Georgia Competitiveness and Growth DPO2,Georgia
283,11,Environment and natural resources management,AZ Integrated Solid Waste Management Project (AF),Republic of Azerbaijan
284,11,Environment and natural resources management,AZ Integrated Solid Waste Management Project (AF),Republic of Azerbaijan
285,4,Financial and private sector development,Rail Trade and Transport Facilitation AF,Republic of Azerbaijan
286,5,Trade and integration,Rail Trade and Transport Facilitation AF,Republic of Azerbaijan
287,11,Environment and natural resources management,LR-Poverty Reduction Strategy Credit I,Republic of Liberia
288,2,Public sector governance,LR-Poverty Reduction Strategy Credit I,Republic of Liberia
289,2,Public sector governance,LR-Poverty Reduction Strategy Credit I,Republic of Liberia
290,2,Public sector governance,LR-Poverty Reduction Strategy Credit I,Republic of Liberia
291,11,Environment and natural resources management,Coastal Embankment Improvement Project - Phase I (CEIP-I),People's Republic of Bangladesh
292,6,Social protection and risk management,Coastal Embankment Improvement Project - Phase I (CEIP-I),People's Republic of Bangladesh
293,7,Social dev/gender/inclusion,Coastal Embankment Improvement Project - Phase I (CEIP-I),People's Republic of Bangladesh
294,11,Environment and natural resources management,Coastal Embankment Improvement Project - Phase I (CEIP-I),People's Republic of Bangladesh
295,7,Social dev/gender/inclusion,Coastal Embankment Improvement Project - Phase I (CEIP-I),People's Republic of Bangladesh
296,4,Financial and private sector development,TR Third Access to Finance for SMEs (SME III),Republic of Turkey
297,2,,TR Third Access to Finance for SMEs (SME III),Republic of Turkey
298,7,Social dev/gender/inclusion,Bangladesh Safety Net Systems for the Poorest Project,People's Republic of Bangladesh
299,6,Social protection and risk management,Bangladesh Safety Net Systems for the Poorest Project,People's Republic of Bangladesh
300,6,Social protection and risk management,Bangladesh Safety Net Systems for the Poorest Project,People's Republic of Bangladesh
301,2,Public sector governance,Bangladesh Safety Net Systems for the Poorest Project,People's Republic of Bangladesh
302,8,Human development,Rio Grande do Norte: Regional Development and Governance,Federative Republic of Brazil
303,10,Rural development,Rio Grande do Norte: Regional Development and Governance,Federative Republic of Brazil
304,7,Social dev/gender/inclusion,Rio Grande do Norte: Regional Development and Governance,Federative Republic of Brazil
305,8,Human development,Rio Grande do Norte: Regional Development and Governance,Federative Republic of Brazil
306,2,Public sector governance,Rio Grande do Norte: Regional Development and Governance,Federative Republic of Brazil
307,8,Human development,Pernambuco Equity and Inclusive Growth DPL,Federative Republic of Brazil
308,6,Social protection and risk management,Pernambuco Equity and Inclusive Growth DPL,Federative Republic of Brazil
309,7,Social dev/gender/inclusion,Pernambuco Equity and Inclusive Growth DPL,Federative Republic of Brazil
310,2,Public sector governance,Pernambuco Equity and Inclusive Growth DPL,Federative Republic of Brazil
311,6,Social protection and risk management,Pernambuco Equity and Inclusive Growth DPL,Federative Republic of Brazil
312,2,Public sector governance,Cape Verde - Transport Sector Reform Project,Republic of Cape Verde
313,4,Financial and private sector development,Cape Verde - Transport Sector Reform Project,Republic of Cape Verde
314,10,Rural development,Cape Verde - Transport Sector Reform Project,Republic of Cape Verde
315,8,Human development,Cape Verde - Transport Sector Reform Project,Republic of Cape Verde
316,4,Financial and private sector development,Additional Financing for Nepal-India Electricity Transmission and Trade Project,Nepal
317,5,Trade and integration,Additional Financing for Nepal-India Electricity Transmission and Trade Project,Nepal
318,9,Urban development,Benin Cities Support Project,Republic of Benin
319,2,Public sector governance,Benin Cities Support Project,Republic of Benin
320,9,Urban development,Benin Cities Support Project,Republic of Benin
321,6,Social protection and risk management,Bangladesh: Safe Migration for Bangladeshi Workers,People's Republic of Bangladesh
322,6,Social protection and risk management,Bangladesh: Safe Migration for Bangladeshi Workers,People's Republic of Bangladesh
323,8,Human development,Chad Education Sector Reform Project Phase 2,Republic of Chad
324,8,Human development,Chad Education Sector Reform Project Phase 2,Republic of Chad
325,7,Social dev/gender/inclusion,Safety Net and Skills Development,Republic of South Sudan
326,6,Social protection and risk management,Safety Net and Skills Development,Republic of South Sudan
327,6,Social protection and risk management,Safety Net and Skills Development,Republic of South Sudan
328,6,Social protection and risk management,Safety Net and Skills Development,Republic of South Sudan
